id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
76072090,2021/05/01 6:50 AM CEST,2021-05-01,2021-05-01 04:50:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:00 UTC,2021-05-01 08:54:11 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072090,https://inaturalist-open-data.s3.amazonaws.com/photos/124465565/medium.jpeg,https://static.inaturalist.org/sounds/201128.m4a?1619857497,"",see soundfile,1,0,false,,"4893 Zell am Moos, Österreich",47.9058267544,13.3143996663,122,122,,open,false,,,Common Chiffchaff,Phylloscopus collybita,Zilpzalp,Aves,117016,Chordata,Aves,Passeriformes,,Phylloscopidae,,,Phylloscopus,Phylloscopus collybita
76072092,2021/05/01 6:52 AM CEST,2021-05-01,2021-05-01 04:52:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:00 UTC,2021-05-01 08:52:00 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072092,https://inaturalist-open-data.s3.amazonaws.com/photos/124465618/medium.jpeg,,"","",2,0,false,,"4893 Zell am Moos, Österreich",47.9052513842,13.3131980366,122,122,,open,false,,,Ringeltaube,Columba palumbus,Ringeltaube,Aves,3048,Chordata,Aves,Columbiformes,,Columbidae,,,Columba,Columba palumbus
76072093,2021/05/01 7:01 AM CEST,2021-05-01,2021-05-01 05:01:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:00 UTC,2021-05-01 08:54:25 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072093,https://inaturalist-open-data.s3.amazonaws.com/photos/124465660/medium.jpeg,https://static.inaturalist.org/sounds/201130.m4a?1619857524,"",see soundfile,1,0,false,,"4893 Zell am Moos, Österreich",47.9057471348,13.3140563435,122,122,,open,false,,,Willow Warbler,Phylloscopus trochilus,Fitis,Aves,117055,Chordata,Aves,Passeriformes,,Phylloscopidae,,,Phylloscopus,Phylloscopus trochilus
76072098,2021/05/01 7:09 AM CEST,2021-05-01,2021-05-01 05:09:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:01 UTC,2021-05-01 08:33:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072098,https://inaturalist-open-data.s3.amazonaws.com/photos/124465755/medium.jpeg,,"","",1,0,false,,"4893 Zell am Moos, Österreich",47.9045390281,13.3133633945,31,31,,open,false,,,Wacholderdrossel,Turdus pilaris,Wacholderdrossel,Aves,12707,Chordata,Aves,Passeriformes,,Turdidae,,,Turdus,Turdus pilaris
76072099,2021/05/01 7:10 AM CEST,2021-05-01,2021-05-01 05:10:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:01 UTC,2021-05-01 08:36:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072099,https://inaturalist-open-data.s3.amazonaws.com/photos/124465790/medium.jpeg,,"","",1,0,false,,"4893 Zell am Moos, Österreich",47.9043662334,13.3129405446,122,122,,open,false,,,Buchfink,Fringilla coelebs,Buchfink,Aves,10070,Chordata,Aves,Passeriformes,,Fringillidae,,,Fringilla,Fringilla coelebs
76072101,2021/05/01 7:12 AM CEST,2021-05-01,2021-05-01 05:12:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:02 UTC,2021-05-01 08:36:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072101,https://inaturalist-open-data.s3.amazonaws.com/photos/124465843/medium.jpeg,,"","",1,0,false,,"4893 Zell am Moos, Österreich",47.9052470376,13.3126830525,122,122,,open,false,,,Feldsperling,Passer montanus,Feldsperling,Aves,13851,Chordata,Aves,Passeriformes,,Passeridae,,,Passer,Passer montanus
76072108,2021/05/01 7:21 AM CEST,2021-05-01,2021-05-01 05:21:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:02 UTC,2021-05-01 11:11:13 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072108,https://inaturalist-open-data.s3.amazonaws.com/photos/124465889/medium.jpeg,,"","",1,0,false,,"Vöcklabruck, Österreich",47.8676213597,13.3238620337,15,15,,open,false,,,zajíc polní,Lepus europaeus,Europäischer Feldhase,Mammalia,43128,Chordata,Mammalia,Lagomorpha,,Leporidae,,,Lepus,Lepus europaeus
76072109,2021/05/01 7:49 AM CEST,2021-05-01,2021-05-01 05:49:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:03 UTC,2021-05-01 08:33:24 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072109,https://inaturalist-open-data.s3.amazonaws.com/photos/124465915/medium.jpeg,,"","",1,0,false,,"Mondsee, Österreich",47.8439189646,13.3418697846,61,61,,open,false,,,Blässhuhn,Fulica atra,Blässhuhn,Aves,482,Chordata,Aves,Gruiformes,,Rallidae,,,Fulica,Fulica atra
76072111,2021/05/01 7:41 AM CEST,2021-05-01,2021-05-01 05:41:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:03 UTC,2021-05-01 08:33:22 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072111,https://inaturalist-open-data.s3.amazonaws.com/photos/124465919/medium.jpeg,,"","",1,0,false,,"Mondsee, Österreich",47.8438015514,13.3418277785,15,15,,open,false,,,Stockente,Anas platyrhynchos,Stockente,Aves,6930,Chordata,Aves,Anseriformes,,Anatidae,,,Anas,Anas platyrhynchos
76072114,2021/05/01 8:03 AM CEST,2021-05-01,2021-05-01 06:03:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:04 UTC,2021-05-01 08:53:44 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072114,https://inaturalist-open-data.s3.amazonaws.com/photos/124465945/medium.jpeg,,"","",1,0,false,,"5310 St. Lorenz, Österreich",47.8229977849,13.3548000857,8,8,,open,false,,,Common Chiffchaff,Phylloscopus collybita,Zilpzalp,Aves,117016,Chordata,Aves,Passeriformes,,Phylloscopidae,,,Phylloscopus,Phylloscopus collybita
