id;obs_id;obs_name
75812712;4244602,2626695;isabella_ostovary,brothernorbert
75813072;4244602,2626695;isabella_ostovary,brothernorbert
75813245;4244602,477431;isabella_ostovary,carnifex
75813557;4244602;isabella_ostovary
75814717;4244602,2626695,4244602,2626695;isabella_ostovary,brothernorbert,isabella_ostovary,brothernorbert
75814798;2063870,2886668,2426747;jakobbrejcha,frank375,bernhardhausdorf
75814867;4244602,2554773;isabella_ostovary,alex_iosipenko
75816170;4244602,4244602,2626695;isabella_ostovary,isabella_ostovary,brothernorbert
75816325;4244602,2554773;isabella_ostovary,alex_iosipenko
75816694;4244602,2438113;isabella_ostovary,pastabaum
75817881;4244602,1111376;isabella_ostovary,animalview29
75818227;4244602,2626695;isabella_ostovary,brothernorbert
75819979;2063870,2626695;jakobbrejcha,brothernorbert
75820814;2063870,2626695;jakobbrejcha,brothernorbert
75821004;2063870,5643,3760696;jakobbrejcha,jakob,christoph_posch
75821027;4323624,2438113,4323624;hederahelix,pastabaum,hederahelix
75821342;2438113,2435044,2626695;pastabaum,igor_kuzmin,brothernorbert
75821437;960916,4264458,1546239,4264458;szucsich,dawae7,louis_raginwulf,dawae7
75821928;4244602,2626695;isabella_ostovary,brothernorbert
75822025;2063870,477431;jakobbrejcha,carnifex
75822132;4244602,2626695;isabella_ostovary,brothernorbert
75822219;477431,960916,2747734;carnifex,szucsich,jurek3
75822304;477431,2886668,2465059;carnifex,frank375,glycymeris
75822379;2438113;pastabaum
75822483;2063870,2438113;jakobbrejcha,pastabaum
75822613;4328028,2626695;kurehan,brothernorbert
75822673;4285323,2438113,4244602;julian318,pastabaum,isabella_ostovary
75822694;477431,2626695;carnifex,brothernorbert
75822746;4285323,2438113;julian318,pastabaum
75822803;4285323,4244602;julian318,isabella_ostovary
75823156;4244602,2626695;isabella_ostovary,brothernorbert
75823168;477431,3022719;carnifex,danielahlavka
75823279;4323624,2626695,477431,4323624;hederahelix,brothernorbert,carnifex,hederahelix
75823549;2063870;jakobbrejcha
75823582;477431;carnifex
75823624;477431,2438113;carnifex,pastabaum
75823969;4244602,2626695;isabella_ostovary,brothernorbert
75824326;2063870;jakobbrejcha
75824841;2063870,2626695,477431;jakobbrejcha,brothernorbert,carnifex
75824926;474425,2438113;pearmonger,pastabaum
75825130;474425,1366512;pearmonger,michgrub97
